N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
125,KCC,"306,000","1,500",-0.49%,"5,000","27,193","8,886",12.14,"55,137",3.16,12.79,
126,현대위아,"97,500","4,800",+5.18%,"5,000","26,515","27,195",6.72,"1,063,312",172.26,1.96,
127,DL이앤씨,"135,500",500,-0.37%,"5,000","26,231","19,359",27.29,"126,961",N/A,N/A,
128,메리츠금융지주,"19,050","1,450",+8.24%,500,"25,529","134,011",7.96,"712,573",4.46,16.06,
129,더존비즈온,"83,400",200,-0.24%,500,"25,304","30,341",39.48,"150,056",46.44,15.09,
130,DB하이텍,"56,700","1,100",+1.98%,"5,000","25,174","44,399",14.34,"792,971",15.90,23.07,
131,한샘,"106,500",0,0.00%,"1,000","25,064","23,534",23.05,"38,056",34.17,10.83,
132,BNK금융지주,"7,600",160,-2.06%,"5,000","24,771","325,935",38.80,"2,311,120",4.31,6.11,
133,한화에어로스페이스,"48,600","2,250",+4.85%,"5,000","24,606","50,630",19.25,"822,326",11.02,4.78,
134,KODEX 단기채권,"102,820",0,0.00%,0,"24,592","23,918",0.00,"6,254",N/A,N/A,
135,한화,"32,350",250,+0.78%,"5,000","24,249","74,959",18.37,"354,736",8.29,4.79,
136,LS,"71,300","1,300",+1.86%,"5,000","22,959","32,200",14.39,"210,829",12.56,3.94,
137,KODEX 200선물인버스2X,"1,885",15,-0.79%,0,"22,907","1,215,200",2.48,"95,790,068",N/A,N/A,
138,현대엘리베이,"54,800","1,800",+3.40%,"5,000","22,367","40,815",29.42,"746,941",19.99,9.78,
139,대웅,"38,400",450,+1.19%,500,"22,327","58,142",3.92,"233,453",25.95,15.10,
140,TIGER 200,"43,495",95,+0.22%,0,"22,226","51,100",0.00,"303,488",N/A,N/A,
141,메리츠화재,"18,200",300,+1.68%,500,"21,954","120,625",11.10,"602,948",4.60,16.91,
142,현대해상,"24,350",450,-1.81%,500,"21,769","89,400",29.73,"741,907",5.88,7.13,
143,효성,"101,500",0,0.00%,"5,000","21,387","21,071",9.73,"57,020",75.86,-2.26,
144,금호타이어,"7,320",40,+0.55%,"5,000","21,027","287,260",4.11,"1,604,622",-138.11,-6.74,
145,동국제강,"21,300",350,-1.62%,"5,000","20,327","95,433",22.32,"1,127,610",9.65,3.35,
146,현대백화점,"86,600","1,000",-1.14%,"5,000","20,267","23,402",19.63,"186,914",20.79,1.65,
147,KG동부제철,"20,150",450,+2.28%,"5,000","20,152","100,009",0.42,"309,990",22.34,7.18,
148,오뚜기,"544,000","6,000",-1.09%,"5,000","19,976","3,672",13.56,"11,293",20.63,7.93,
149,한국앤컴퍼니,"20,850",200,-0.95%,500,"19,794","94,935",10.13,"193,472",9.61,5.08,
150,한전기술,"51,600",400,-0.77%,200,"19,722","38,220",2.16,"363,608",117.81,N/A,
151,영원무역,"44,200",100,+0.23%,500,"19,586","44,311",26.50,"141,498",12.67,8.03,
152,농심,"321,000","2,000",+0.63%,"5,000","19,525","6,083",14.22,"53,985",15.16,7.50,
153,한화시스템,"17,700",150,+0.85%,"5,000","19,511","110,230",1.80,"565,939",20.25,9.35,
154,HDC현대산업개발,"29,500",250,-0.84%,"5,000","19,443","65,907",10.71,"446,484",9.39,8.85,
155,한전KPS,"42,100",150,+0.36%,200,"18,945","45,000",9.37,"364,174",17.56,8.23,
156,코오롱인더,"66,600","1,000",-1.48%,"5,000","17,968","26,979",18.83,"318,045",22.07,9.70,
157,아이에스동서,"58,100",400,-0.68%,500,"17,949","30,893",4.94,"48,311",14.04,10.92,
158,대웅제약,"153,000",500,-0.33%,"2,500","17,727","11,587",4.81,"94,039",-160.71,2.38,
159,효성첨단소재,"393,500","2,500",-0.63%,"5,000","17,629","4,480",10.44,"60,850",48.57,0.03,
160,프레스티지바이오파마,"29,150","1,050",+3.74%,0,"17,518","60,096",63.64,"774,422",-86.76,N/A,
161,에스엘,"35,850","1,200",+3.46%,500,"17,281","48,203",16.75,"444,851",15.66,4.74,
162,KODEX 단기채권PLUS,"103,100",5,0.00%,0,"17,062","16,549",0.00,"1,376,268",N/A,N/A,
163,LS ELECTRIC,"56,800",400,+0.71%,"5,000","17,040","30,000",14.44,"65,261",21.65,6.15,
164,KODEX 삼성그룹,"10,180",80,+0.79%,0,"16,878","165,800",0.02,"214,526",N/A,N/A,
165,DL,"80,300",400,-0.50%,"5,000","16,828","20,956",16.14,"268,158",4.31,11.84,
166,한미반도체,"33,700",50,+0.15%,200,"16,668","49,460",6.46,"1,068,176",27.53,21.03,
167,롯데정밀화학,"64,500",200,-0.31%,"5,000","16,641","25,800",20.24,"127,681",8.48,12.65,
168,대한유화,"253,000","4,000",-1.56%,"5,000","16,445","6,500",20.48,"65,800",7.21,6.93,
169,솔루스첨단소재,"52,400","2,400",+4.80%,100,"16,029","30,590",5.05,"763,308",-144.75,-5.10,
170,녹십자홀딩스,"33,400",50,+0.15%,500,"15,707","47,028",4.95,"94,147",8.86,19.74,
171,지누스,"99,200","2,700",+2.80%,500,"15,674","15,800",23.31,"100,752",32.74,11.61,
172,LG생활건강우,"740,000","2,000",+0.27%,"5,000","15,538","2,100",85.30,"7,926",15.95,N/A,
173,NHN,"78,900",0,0.00%,500,"15,437","19,565",11.41,"81,296",57.59,1.35,
174,DGB금융지주,"9,120",210,-2.25%,"5,000","15,426","169,146",48.78,"874,360",4.20,6.93,
175,신세계인터내셔날,"214,000","2,000",-0.93%,"5,000","15,280","7,140",5.03,"25,968",21.94,8.24,
176,세방전지,"108,500","5,000",+4.83%,500,"15,190","14,000",25.15,"117,655",19.69,6.14,
177,종근당,"132,000","1,000",+0.76%,"2,500","15,082","11,426",7.94,"31,559",16.99,17.88,
178,SK네트웍스,"6,050",30,+0.50%,"2,500","15,015","248,188",12.66,"887,229",14.51,1.63,
179,롯데리츠,"6,170",60,+0.98%,500,"14,991","242,969",9.51,"730,524",35.87,1.83,
180,두산,"90,500","1,000",+1.12%,"5,000","14,954","16,524",10.68,"169,650",-10.89,-34.34,
181,KODEX 종합채권(AA-이상)액티브,"109,010",110,+0.10%,0,"14,841","13,614",0.00,"5,811",N/A,N/A,
182,명신산업,"28,100",900,+3.31%,500,"14,744","52,470",1.07,"1,195,407",-12.19,-67.39,
183,솔루엠,"29,500",50,+0.17%,500,"14,693","49,806",4.05,"1,862,591",28.86,43.26,
184,KODEX 레버리지,"28,750",160,+0.56%,0,"14,605","50,800",5.19,"13,952,028",N/A,N/A,
185,부광약품,"20,550",100,+0.49%,500,"14,603","71,063",6.52,"622,066",-154.51,-2.46,
186,KODEX MSCI Korea TR,"13,945",10,+0.07%,0,"14,559","104,400",0.06,"476,843",N/A,N/A,
187,JB금융지주,"7,370",200,-2.64%,"5,000","14,518","196,983",41.15,"575,181",3.64,10.06,
188,롯데관광개발,"20,850",400,-1.88%,500,"14,444","69,276",4.82,"696,792",-11.66,-30.43,
189,KODEX 200TR,"14,220",65,+0.46%,0,"14,184","99,750",0.02,"70,999",N/A,N/A,
190,한국콜마,"60,000",300,-0.50%,500,"13,729","22,881",27.95,"110,515",8.57,29.27,
